Category: All categories

Week,vacations: (Worldwide)
2020-01-05,100
2020-01-12,96
2020-01-19,94
2020-01-26,84
2020-02-02,84
2020-02-09,79
2020-02-16,84
2020-02-23,78
2020-03-01,67
2020-03-08,70
2020-03-15,43
2020-03-22,34
2020-03-29,29
2020-04-05,31
2020-04-12,31
2020-04-19,30
2020-04-26,30
2020-05-03,32
2020-05-10,34
2020-05-17,38
2020-05-24,38
2020-05-31,40
2020-06-07,46
2020-06-14,45
2020-06-21,45
2020-06-28,39
2020-07-05,39
2020-07-12,38
2020-07-19,39
2020-07-26,40
2020-08-02,42
2020-08-09,41
2020-08-16,37
2020-08-23,37
2020-08-30,36
2020-09-06,37
2020-09-13,35
2020-09-20,34
2020-09-27,36
2020-10-04,37
2020-10-11,35
2020-10-18,36
2020-10-25,31
2020-11-01,30
2020-11-08,34
2020-11-15,30
2020-11-22,32
2020-11-29,33
